date,AAPL,ABBV,ABT,ACN,ADBE,AMGN,AMZN,AVGO,BAC,BMY,BRK.B,C,CMCSA,COST,CRM,CSCO,CVX,DIS,FB,GOOG,GOOGL,HD,INTC,JNJ,JPM,KO,LLY,MA,MCD,MDT,MRK,MSFT,NEE,NFLX,NKE,NVDA,PEP,PFE,PG,PM,PYPL,T,TMO,TXN,UNH,UNP,V,VZ,WMT,XOM
2008-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-06-30,1.166829268292683,,0.35578923478458224,1.160068356593563,1.108047270680923,1.128635346756152,1.0284712482468443,,0.6277044854881266,0.9643024894316582,0.8982993958379952,0.7925064730669645,0.40971576227390183,1.0810103188048665,1.1802188668790692,0.9647449191206969,1.687159400544959,0.867984693877551,,1.1934124682856109,1.193382093362179,0.8368515205724508,1.0141643059490086,0.992591449297731,0.79976717112922,0.85158430471187,0.8950126140112555,1.194876404494382,1.007532281205165,1.0697145221348778,0.9926238145416227,0.9689922480620156,1.0452661778769525,0.7531837477258946,0.8789039481437831,0.9424242424242424,0.8804604077104424,0.8366858237547893,0.8678760177117554,0.9781962338949455,,0.877742946708464,0.979602602426587,0.9943462897526502,0.7640384055862672,1.2042921470315842,1.3048475120385234,0.9706124691018952,1.0670847586469023,1.0344908769864625
2008-09-30,0.7923902439024391,,1.0462609221923818,1.0823127314155512,1.110579628587507,1.4186241610738255,1.0204768583450212,,0.9234828496042217,0.980272428370127,0.9834414857910048,0.10534599177539725,1.0149870801033594,0.9998459879870628,0.8366809807452557,0.9352965574450437,1.4032697547683926,0.8536352040816326,,0.6718013773106198,0.907280511980303,0.9252236135957067,0.8843248347497641,1.0666769563204195,1.0928987194412105,0.8678377934657692,0.8550359014166505,0.7977528089887641,1.1056312769010042,1.0351675630947454,0.8371970495258167,0.9400986610288936,0.8017213898629264,0.8922579341014756,0.9857395403653506,0.5414141414141415,0.9893218693662461,0.8793103448275863,0.9954292243965146,0.9692765113974231,,0.7387669801462905,0.9671179883945842,0.759363957597173,0.7355251672970615,1.1423370485102033,0.9818940609951847,0.8813512771216699,1.1360699353857848,0.9193643319599764
2008-12-31,0.5946829268292683,,0.9697015546393312,0.9333523212759899,0.5990433314575127,1.612695749440716,0.7197755960729314,,0.3693931398416887,1.0915922968529825,0.7165585142089954,0.3268010356907143,0.8708010335917314,0.8088710919451716,0.5520155146142126,0.6756532559104106,1.2571525885558583,0.7225765306122449,,0.6971728887277999,0.6971794013016755,0.8246869409660108,0.6926345609065157,0.9231362864639603,0.7355064027939463,0.7427351830569693,0.7814865127110421,0.6425617977528091,1.1149569583931132,0.6512205213074058,0.8003161222339304,0.6849894291754758,0.8021995537137392,0.8629472407519708,0.7513258691809076,0.4080808080808081,0.7595340452087089,0.8529693486590039,0.8830167118983001,0.8630327056491576,,0.7452978056426331,0.5997889924388957,0.5484098939929328,0.7736398021530405,0.7642193338230127,0.8419261637239167,0.9316121944520735,1.0646142151273281,0.9372572101236021
2009-03-31,0.7327317073170732,,0.8658698036842304,0.7835374537168898,0.6004501969611705,1.3889821029082774,1.0295932678821882,,0.179155672823219,1.026303428839831,0.6310136495860372,0.012793826471036203,0.29767441860465116,0.713229631911289,0.5653830170383711,0.7051016175860638,1.1416893732970028,0.5787627551020408,,0.7876948169626676,0.7876992568319862,0.8375670840787119,0.7096317280453257,0.8115449915110354,0.6179278230500581,0.7215563946806764,0.6483601785367746,0.7533483146067416,0.9775824964131992,0.6092263136119155,0.7036354056902002,0.645877378435518,0.8085750717245775,1.2397412573276732,0.6899233942251032,0.49797979797979797,0.7140479822493413,0.6522988505747127,0.6715926296243393,0.7040634291377602,,0.6564785788923718,0.6263407772111834,0.5826855123674911,0.6083794006400932,0.6556382333216235,0.8905296950240773,0.8269706124691019,0.9884074496389205,0.7991759858740435
2009-06-30,0.9931707317073171,,0.8544464197904453,0.9535744802050696,0.7965672481710748,1.2670581655480984,1.1746143057503509,,0.3467018469656992,0.9544387036167215,0.6472365182367421,0.14499670000507697,0.3170025839793281,0.7038348991221315,0.6611026457958168,0.7731231854002488,1.1292574931880108,0.7436224489795918,,0.9561435302645885,0.9561431299955644,0.8465116279069768,0.7804532577903683,0.876369810155888,0.7979045401629801,0.7875554096207519,0.672811954201436,0.7532584269662922,1.0299497847919652,0.7217625155151013,0.7363013698630136,0.8375616631430586,0.9062798852406757,1.1954720032342834,0.7632881555686506,0.5702020202020203,0.7625849396754958,0.7179118773946361,0.7296100557063275,0.864816650148662,,0.6486415882967606,0.7179532266572887,0.7526501766784452,0.7270875763747455,0.8319228435474083,0.9974317817014449,0.8431749519362812,0.919422272900038,0.8237786933490288
2009-09-30,1.2917560975609756,,0.3454249725763135,1.062375391626317,0.9290939786156445,1.6840044742729305,1.309677419354839,,0.44538258575197887,1.0558947862846406,0.7426717386439919,0.02406457836218714,0.37188630490956076,0.8690897890035422,0.2460867156115806,0.9738697635835752,1.1980585831062667,0.8750000000000001,,1.1232330554548748,1.1232292053261883,0.9531305903398927,0.923512747875354,0.9390338015125788,1.0193247962747378,0.8809719257921523,0.6409858334950513,0.9077752808988764,1.0233142037302723,0.7608605709557302,0.832982086406744,0.9094432699083863,0.8802996493465093,1.3335354760460887,0.951384796700059,0.7590909090909091,0.8136180834835667,0.7911877394636015,0.8260248535923437,0.9641228939544103,,0.7045454545454544,0.7666608053455252,0.8374558303886925,0.728251382019203,0.9302845463545492,1.1093418940609954,0.8310903597912662,0.9315849486887114,0.8067098293113595
2009-12-31,1.469268292682927,,0.9791201724855317,1.1822842495015662,1.0348902644907148,1.353747203579418,1.8866760168302952,1.0666666666666664,0.3981530343007916,1.1860028182245184,0.7357350637726562,0.16159821292582632,0.8723514211886304,0.9111350685353456,1.2767003740130214,0.9929489838241394,0.9581062670299725,1.028061224489796,,1.404494382022472,1.4044608184805338,1.0343470483005366,0.9631728045325777,0.9930544837166226,0.9701979045401627,0.9353143982925628,0.6922181253638656,1.1479101123595505,1.119081779053084,0.909391808026479,0.9615384615384616,1.0743481324876676,0.8415683774306661,1.5922781483727515,0.9733647613435477,0.9434343434343435,0.8427402579392594,0.8716475095785441,0.8655906299100126,0.9542120911793855,,0.7324973876698012,0.8377000175839638,0.9201413427561838,0.8862379982542918,1.0193849200012775,1.4019261637239169,0.9101895083768197,1.0153933865450397,0.8018834608593289
2010-03-31,1.6370731707317077,,0.9557060180807202,1.1942466533751066,0.9963421496904896,1.6711409395973151,1.904488078541375,1.2023391812865496,0.46992084432717673,1.2550493189290746,0.9092638174088163,0.19774584962176986,0.97312661498708,0.9202217772986293,1.2898600914254055,1.0800497718788884,1.2917234332425065,0.9971301020408163,,1.2844327654947445,1.2843998080979064,1.1577817531305903,1.051463644948064,1.0064824818644846,1.0426076833527353,0.903135774092924,0.7028915195032018,1.1412134831460674,1.1963773314203723,0.9317335539925526,0.9834035827186511,1.0310077519379848,0.7703219636595473,2.129775621588842,1.082969946965233,0.8782828282828284,0.9177645264179727,0.8218390804597702,0.9040137123268102,1.0340931615460853,,0.6752873563218389,0.9039915596975562,0.8643109540636043,0.950538260110562,1.1707597483473315,1.4615088282504016,0.8522383960450427,1.056822500950209,0.7884638022366097
2010-06-30,1.752878048780488,,0.8484699474221734,1.0999715180860152,0.7439504783342714,1.2589485458612975,1.5323983169705475,1.2321637426900585,0.3788918205804749,1.1709722874589008,0.8911389572611323,0.18358125602883693,0.8976744186046511,0.8442938549206839,1.4853165258346035,0.8838656159270012,1.1549727520435964,1.0035076530612246,,1.007837984777093,1.0078344934961485,1.0028622540250447,0.9178470254957506,0.9114060811853676,0.8521536670547144,0.8223608602856675,0.6504948573646419,0.8973033707865169,1.181133428981348,0.7505171700455109,0.9204425711275026,0.8104298801973222,0.7771756455211984,3.1378613300990503,0.994401885680613,0.5156565656565658,0.8446817362363056,0.6829501915708813,0.8555920582773887,0.9082259663032707,,0.6308777429467082,0.8619658871109552,0.8222614840989398,0.8257201047425083,1.1091240060038958,1.1363081861958269,0.7695687997802803,0.9131508931965032,0.6706062389640964
