,AAPL,ABBV,ABT,ACN,ADBE,AMGN,AMZN,AVGO,BAC,BMY,BRK.B,C,CMCSA,COST,CRM,CSCO,CVX,DIS,FB,GOOG,GOOGL,HD,INTC,JNJ,JPM,KO,LLY,MA,MCD,MDT,MRK,MSFT,NEE,NFLX,NKE,NVDA,PEP,PFE,PG,PM,PYPL,T,TMO,TXN,UNH,UNP,V,VZ,WMT,XOM
,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close,close
date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-01-02,27.847,,26.773,36.05,41.71,46.6,96.21,,40.57,26.1,92.1,289.2,8.85,68.14,15.118,26.54,63.83,31.82,,342.59,342.938,26.11,25.34,65.94,42.17,30.57,52.58,21.43,58.12,49.46,57.35,35.23,66.39,3.761,15.8,32.97,75.38,22.9,72.37,,,41.03,55.81,32.36,56.73,31.03,,43.19,46.9,93.56
2008-01-03,27.836,,26.624,35.49,41.78,39.1,95.18,,40.31,26.12,92.9,289.1,8.67,67.08,15.225,26.75,94.58,27.71,,342.49,342.832,25.82,24.68,65.95,41.86,30.855,52.96,21.184,57.92,49.71,57.3,35.37,66.97,3.721,15.65,32.73,75.82,23.16,72.31,,,41.37,57.05,31.64,56.92,30.938,,43.45,46.39,93.91
2008-01-04,25.704,,26.734,34.87,40.25,38.34,88.74,,39.85,25.72,91.0,2567.1,8.405,65.65,14.715,26.08,93.4,31.14,,328.48,328.813,24.94,22.6,65.83,40.89,30.905,51.77,19.956,57.03,49.1,56.78,34.36,68.82,3.516,15.438,29.98,75.5,22.79,71.92,,,40.9,55.98,30.51,55.98,29.993,,42.54,45.64,92.0
2008-01-07,25.369,,27.593,33.89,40.25,45.38,88.84,,39.86,26.08,88.76,2568.9,3.54,65.94,3.608,26.12,92.17,31.18,,324.34,324.669,25.36,22.88,66.89,41.32,31.665,54.59,20.0,58.08,49.84,57.96,34.65,72.03,3.557,15.533,26.89,77.37,23.24,72.5,,,41.37,56.85,30.51,56.93,29.728,,43.38,46.58,91.24
2008-01-08,24.461,,28.265,33.95,39.24,39.65,87.92,,38.36,26.65,88.33,270.9,8.305,64.94,3.421,25.44,62.12,30.48,,315.66,315.981,24.7,22.27,66.82,39.56,31.775,56.12,19.779,57.01,49.29,59.58,33.46,71.55,3.329,15.425,27.44,77.89,23.46,72.5,,,39.03,56.86,30.43,56.07,28.723,,41.61,45.91,89.99
2008-01-09,25.643,,28.788,33.78,39.46,40.78,85.09,,38.75,27.08,86.3,275.5,3.553,67.23,13.605,26.21,92.54,30.12,,326.35,326.676,24.78,22.74,67.84,40.31,32.645,56.86,19.607,57.48,50.71,60.5,34.44,71.46,3.29,15.473,28.81,78.75,23.92,72.56,,,38.99,55.39,30.48,56.28,28.595,,42.51,46.93,91.64
2008-01-10,25.431,,28.826,33.66,39.22,40.7,84.28,,39.3,26.91,89.22,2555.2,8.605,69.89,3.468,26.24,62.77,30.69,,323.282,323.606,25.29,22.54,67.88,41.29,32.775,56.84,19.5,58.12,50.75,60.44,34.32,72.01,3.529,15.618,28.29,79.47,24.05,72.43,,,39.39,56.0,30.38,56.05,29.215,,43.43,48.39,91.62
2008-01-11,24.629,,10.671,32.8,38.05,40.75,81.14,,38.43,26.52,87.54,2596.1,8.56,66.43,3.406,25.84,90.65,30.32,,319.44,319.759,24.68,21.97,67.88,40.85,31.885,56.86,17.895,54.23,50.15,60.59,33.92,71.31,3.346,15.185,27.02,77.76,24.01,70.16,,,38.19,55.05,29.89,55.91,28.573,,42.5,47.76,90.3
2008-01-14,25.534,,28.764,33.5,38.48,47.93,82.87,,39.22,27.01,86.55,2641.6,8.835,64.72,13.913,26.28,90.87,30.36,,326.876,327.203,25.4,23.11,67.95,41.36,32.165,57.15,17.838,54.92,49.67,59.82,34.39,71.29,3.253,15.158,28.87,76.85,23.96,70.28,,,38.49,55.57,30.37,55.35,28.84,,42.96,47.68,90.76
2008-01-15,24.143,,28.601,33.52,37.87,40.55,80.25,,37.84,26.1,85.27,2448.9,8.84,63.97,13.58,25.84,88.25,26.04,,318.75,319.069,25.33,22.7,67.74,39.05,31.785,56.57,17.521,53.74,48.42,58.16,34.0,70.97,3.15,14.27,26.74,74.73,23.6,69.64,,,37.6,54.79,29.71,54.91,28.075,,42.14,46.96,89.08
2008-01-16,22.801,,29.023,34.1,37.75,40.64,80.25,,38.65,25.8,84.33,2385.2,9.085,63.99,13.613,25.12,86.23,26.02,,307.71,308.023,26.33,19.86,68.35,41.36,31.3,56.06,17.583,52.35,48.4,58.32,33.21,67.86,3.154,14.42,23.66,73.5,23.39,68.84,,,37.86,54.83,29.5,55.3,28.208,,42.32,47.45,86.55
2008-01-17,22.92,,28.682,33.41,35.53,40.58,80.34,,36.9,24.87,86.96,249.7,8.71,64.26,13.395,24.39,82.68,28.79,,300.14,300.44,26.27,19.33,67.74,40.12,31.035,54.83,17.699,51.99,47.8,54.83,33.03,65.32,3.11,13.998,23.3,72.19,22.98,68.03,,,37.29,53.77,29.26,54.32,27.213,,40.89,47.5,83.91
2008-01-18,23.031,,28.5,33.77,35.32,47.18,79.7,,36.03,24.49,88.1,244.6,8.52,64.58,12.99,24.31,83.48,28.54,,300.04,300.34,26.3,19.02,66.31,39.59,30.395,53.77,17.466,52.43,47.03,53.3,33.06,63.7,3.123,14.143,24.83,71.49,22.51,67.18,,,36.12,52.04,29.44,54.36,27.625,,39.09,47.57,85.09
2008-01-22,22.5,,27.627,33.3,33.9,38.85,78.48,,37.45,22.93,91.38,244.3,3.467,66.12,13.05,23.5,55.49,24.53,,292.18,292.477,28.25,18.66,65.29,40.88,29.4,52.16,18.288,52.37,46.39,51.37,31.98,60.87,3.177,14.345,23.71,69.43,22.23,65.22,,,36.01,50.61,29.06,51.14,27.608,,37.86,49.19,82.58
2008-01-23,19.856,,27.814,33.1,34.35,44.72,74.0,,40.6,22.59,92.0,2396.2,3.594,68.63,13.7,24.11,55.63,28.54,,274.5,274.774,29.95,19.9476,64.27,46.1,29.44,52.21,19.26,53.03,47.33,50.31,32.0,62.9,3.394,14.433,24.02,70.46,22.86,66.05,,,36.69,50.34,30.21,50.03,29.273,,38.08,50.07,83.45
2008-01-24,19.361,,10.066,33.86,34.64,39.47,77.67,,39.77,23.34,92.38,273.5,8.725,67.15,14.113,25.07,57.15,25.5,,287.22,287.507,29.56,20.68,63.49,44.91,29.88,51.3,19.042,53.96,46.67,49.55,33.24,61.5,3.146,14.335,25.87,69.66,23.0,66.11,,,35.63,50.01,30.4,49.8,30.203,,38.17,48.95,85.76
2008-01-25,18.569,,26.638,33.87,34.87,48.15,77.6,,39.49,22.92,92.589,2421.6,8.615,65.46,13.278,24.22,55.88,25.02,,283.47,283.758,28.51,20.0001,62.43,43.66,29.2,50.72,19.352,54.19,46.12,47.72,32.95,61.07,3.104,13.988,24.96,68.87,22.59,65.31,,,35.23,51.68,29.77,49.98,29.895,,37.78,48.08,83.94
2008-01-28,18.571,,9.956,33.92,35.15,40.96,75.81,,41.17,23.61,90.4,276.4,8.855,66.37,13.368,24.11,56.59,25.62,,278.0,278.278,29.16,20.3,63.13,45.6,29.69,51.48,18.699,51.07,46.52,49.24,32.72,62.16,3.286,14.328,24.65,70.23,22.98,65.28,,,36.38,51.39,30.31,51.15,30.268,,38.09,48.76,85.26
2008-01-29,18.786,,9.922,34.49,35.54,47.96,74.1,,41.97,23.65,92.9,2537.1,8.98,66.68,3.25,24.06,56.42,25.12,,275.96,276.241,29.69,20.53,62.94,47.49,29.27,52.25,19.104,50.8,46.71,48.01,32.62,62.53,3.311,14.33,25.39,68.69,23.15,64.69,,,37.9,52.55,30.36,50.8,30.333,,38.71,49.02,85.14
2008-01-30,18.884,,26.859,34.02,35.9,40.46,74.21,,42.2,23.24,92.32,2534.3,3.676,66.2,12.64,24.33,83.15,29.38,,274.16,274.434,29.34,20.68,62.17,47.35,28.855,51.34,18.887,50.99,46.17,46.52,32.2,62.57,3.281,14.85,25.16,67.46,23.05,65.03,,,37.3,51.04,30.83,50.2,30.25,,38.26,49.1,85.16
2008-01-31,19.284,,26.936,34.58,34.88,46.56,77.47,,44.15,23.04,91.213,282.0,9.06,67.89,13.03,24.42,56.86,26.03,,279.55,279.83,30.62,21.15,63.12,47.37,29.515,51.36,21.058,53.54,46.47,46.12,32.54,64.35,3.593,15.333,24.64,67.97,23.35,65.42,,,37.72,51.29,30.95,50.79,31.18,,38.75,50.74,84.91
2008-02-01,19.101,,10.153,35.04,34.48,47.32,74.62,,45.05,23.94,90.46,2730.2,9.27,67.74,3.225,24.93,82.42,30.63,,257.68,257.938,30.4,21.78,63.37,48.65,29.625,51.62,21.48,54.19,47.86,45.95,30.45,65.33,3.624,15.613,26.9,68.78,23.57,66.03,,,38.26,52.37,31.52,50.02,31.99,,38.73,51.1,85.95
2008-02-04,18.816,,27.852,34.14,35.23,40.38,73.95,,43.99,24.06,90.161,2687.0,9.08,67.02,12.968,23.81,82.09,30.89,,247.88,248.133,29.35,21.19,63.52,46.17,29.28,52.1,21.57,53.92,47.54,47.47,30.19,66.75,3.714,15.178,26.02,69.17,23.59,66.17,,,38.19,51.0,31.14,49.91,31.395,,38.59,50.11,85.41
2008-02-05,18.489,,27.531,33.5,33.96,46.31,72.09,,42.38,23.38,90.85,270.2,8.735,64.9,13.165,23.27,54.46,30.17,,253.38,253.638,28.0,20.13,62.88,43.93,28.73,51.25,20.598,53.8,47.05,46.02,29.07,63.87,3.609,14.963,24.39,68.01,23.0,65.06,,,36.74,50.48,29.75,49.42,30.7,,36.87,49.57,82.11
2008-02-06,17.427,,10.181,33.74,32.64,39.82,68.33,,42.31,23.84,90.488,2475.5,3.649,63.7,11.973,23.0751,52.94,31.5,,250.86,251.111,27.64,19.93,63.07,43.71,28.855,51.4,20.308,53.71,46.96,45.68,28.52,63.99,3.717,14.995,24.3,66.65,22.61,65.31,,,36.4,54.06,29.46,49.38,30.763,,36.69,48.81,81.45
2008-02-07,17.316,,10.249,33.23,32.61,39.99,71.0,,43.42,23.36,90.76,267.0,8.695,64.79,12.705,23.383,78.87,27.67,,252.59,252.848,28.43,20.06,62.84,45.13,29.215,51.19,20.028,54.49,47.26,45.65,28.12,63.71,3.831,15.2,24.54,70.51,22.69,65.76,,,37.01,55.5,29.23,48.98,31.105,,36.94,49.82,81.91
2008-02-08,17.956,,27.233,33.88,33.19,46.6,73.53,,42.16,23.07,91.77,2393.6,3.553,63.24,3.176,23.6,54.14,28.02,,258.41,258.668,27.95,20.26,62.02,43.75,29.62,50.23,20.531,55.67,46.74,44.51,28.56,63.23,3.84,15.173,24.99,69.71,22.29,64.99,,,36.36,55.4,29.6,48.18,31.4,,36.38,48.73,81.68
2008-02-11,18.493,,27.032,34.18,33.84,39.69,75.2,,42.11,22.98,92.9,2373.4,3.547,63.98,13.673,23.54,80.4,31.9,,260.58,260.846,28.69,20.69,61.82,43.34,29.735,50.19,20.709,55.94,47.35,45.33,28.19,63.51,3.84,15.143,25.05,70.99,22.21,65.98,,,36.89,55.95,30.16,48.24,31.375,,36.76,49.64,83.22
2008-02-12,17.84,,26.874,35.1,34.37,39.83,74.46,,42.84,23.2,93.18,262.1,3.588,64.41,3.403,23.44,55.41,32.03,,259.02,259.284,28.38,20.91,62.97,43.37,29.965,51.04,20.326,56.34,48.25,46.53,28.34,64.1,3.839,15.325,26.0,71.95,22.68,67.19,,,37.52,56.69,30.3,48.32,31.335,,37.55,50.24,84.38
2008-02-13,18.464,,27.094,35.83,34.99,40.28,77.73,,43.35,23.84,95.36,2422.1,3.709,65.66,3.497,24.03,82.05,32.78,,267.0,267.272,28.34,21.17,63.35,44.06,29.69,50.3,20.54,56.56,48.69,47.55,28.97,64.41,3.897,15.608,27.02,71.62,22.71,67.01,,,38.63,57.08,30.83,47.0,31.438,,38.63,50.67,85.43
2008-02-14,18.214,,26.562,35.54,35.05,46.79,75.8,,42.16,23.21,95.38,2367.0,9.625,64.01,13.788,23.55,56.99,28.19,,265.94,266.211,27.49,20.49,62.69,42.53,29.245,49.97,20.173,55.54,48.09,46.91,28.52,63.71,3.823,15.575,22.62,71.5,22.41,66.56,,,37.81,56.63,30.21,46.58,31.198,,38.0,49.98,85.45
2008-02-15,17.804,,26.672,34.6,34.65,39.92,72.95,,42.65,23.29,95.74,2343.1,10.085,63.92,3.368,23.29,83.56,32.53,,264.721,264.986,27.54,20.12,62.92,43.21,29.37,50.85,20.597,55.3,49.04,47.51,28.42,64.71,3.803,15.555,22.28,71.67,22.34,66.32,,,37.88,57.18,30.13,47.67,31.175,,37.83,49.44,85.42
2008-02-19,17.486,,9.802,34.73,34.93,40.1,72.16,,42.65,23.17,95.8,2328.3,10.215,62.85,12.875,22.89,58.36,32.2,,254.44,254.694,27.28,20.18,63.6,42.82,29.04,50.3,20.372,55.64,49.12,47.1,28.2,64.41,3.831,15.255,21.93,71.16,22.38,66.32,,,35.85,56.79,29.82,48.07,30.665,,35.33,49.59,87.12
2008-02-20,17.68,,26.667,34.11,35.08,40.52,73.63,,43.02,23.08,95.5,2344.0,10.075,64.6,13.258,23.2099,86.35,32.58,,254.5,254.754,27.72,20.38,63.22,43.17,29.135,50.36,20.852,56.2,49.41,47.02,28.23,64.77,3.924,15.31,21.8,71.08,22.46,66.21,,,34.4,57.09,30.3,48.09,30.96,,35.25,49.74,88.18
2008-02-21,17.376,,26.269,33.8,34.82,46.73,70.02,,42.16,22.77,94.02,2303.5,9.795,64.98,13.405,23.2,84.81,28.15,,252.11,252.362,27.37,20.3,62.87,43.03,28.975,49.75,20.445,55.25,48.36,46.16,28.12,63.86,3.98,15.05,21.29,71.03,22.39,65.91,,,34.5,56.29,29.96,47.79,30.575,,35.34,49.76,86.71
2008-02-22,17.057,,26.192,34.02,35.12,39.74,72.08,,42.63,22.55,92.96,2310.0,10.07,66.07,3.274,23.59,85.6,32.61,,254.41,254.664,27.81,19.85,63.24,44.01,29.145,50.56,20.275,55.68,48.59,46.12,27.73,64.58,3.974,15.175,22.34,71.49,22.52,66.25,,,35.04,56.23,30.21,47.38,30.945,,36.23,50.0,87.45
2008-02-25,17.083,,26.624,34.81,35.52,46.73,73.25,,42.98,23.18,93.12,2275.0,4.23,65.58,13.58,23.8,59.97,32.85,,243.22,243.388,28.78,19.93,63.88,44.04,29.365,51.26,19.9,56.09,49.65,46.76,27.82,64.76,4.0,15.378,22.32,71.54,22.79,66.71,,,35.5,57.87,30.35,47.95,31.64,,36.47,50.3,89.1
2008-02-26,17.021,,9.802,36.36,35.87,40.93,71.62,,42.72,23.39,92.52,2294.3,4.2,66.51,13.205,24.06,60.62,28.69,,232.11,232.347,28.79,20.688,63.71,43.75,29.72,52.45,19.544,56.4,49.97,46.41,28.4,64.85,4.139,15.66,22.5,71.38,22.82,67.7,,,35.58,57.94,31.15,48.9,32.28,,36.84,51.35,89.82
2008-02-27,17.557,,26.144,37.06,35.5,46.53,70.87,,42.9,23.18,93.61,2365.1,10.135,64.46,13.178,25.01,60.69,33.1,,236.47,236.706,28.84,20.77,62.97,44.35,30.005,51.87,19.096,55.37,50.3,45.45,28.3,64.33,4.633,15.605,22.9,71.24,22.72,67.16,,,35.16,57.71,31.39,49.13,31.945,,36.4,51.44,89.26
2008-02-28,18.569,,26.039,36.71,35.41,38.97,67.98,,41.46,22.88,93.2,2299.8,10.055,63.11,15.385,24.68,88.93,32.54,,237.69,237.933,27.69,20.5,62.72,42.44,29.725,50.95,19.508,54.58,49.74,45.2,27.92,63.13,4.507,15.495,22.03,71.09,22.56,66.97,,,35.94,57.07,31.02,48.01,31.525,,37.19,50.7,89.33
2008-02-29,17.885,,25.679,35.3,33.68,38.96,64.51,,39.73,22.63,93.49,236.7,9.775,61.86,14.928,24.41,59.62,32.4,,235.58,235.816,26.59,19.98,62.02,40.66,29.225,50.06,19.0,54.15,49.33,44.32,27.22,60.29,4.5,15.045,21.44,69.64,22.31,66.12,,,34.92,55.92,29.99,46.53,31.105,,36.32,49.63,86.93
2008-03-03,17.397,,25.54,34.89,32.8,38.95,62.47,,39.18,22.42,90.18,2123.3,4.165,62.51,14.703,24.41,87.14,28.27,,228.62,228.854,27.09,20.03,62.26,39.85,29.535,50.19,18.83,53.22,49.48,44.09,26.99,61.33,4.419,15.03,21.14,70.22,22.28,66.34,,,35.1,55.42,29.88,46.39,30.925,,36.31,49.9,87.84
2008-03-04,17.803,,9.392,34.63,33.07,39.06,65.33,,38.79,22.15,91.341,2032.2,9.99,62.35,14.493,24.29,86.81,27.8,,222.17,222.392,26.86,20.03,62.62,39.21,29.675,50.03,19.276,53.55,49.45,43.75,27.56,62.15,4.503,15.11,20.93,70.06,22.24,66.06,,,34.9,54.93,29.27,46.71,30.903,,35.72,49.89,86.7
2008-03-05,17.792,,25.415,35.07,32.41,38.73,65.01,,37.56,22.19,92.09,2036.8,9.95,60.93,14.705,24.28,61.08,27.6,,223.87,224.094,26.79,20.21,63.17,38.69,29.855,50.46,19.103,53.95,49.93,43.27,28.13,62.17,4.586,15.21,21.17,70.28,22.03,66.72,,,35.51,54.89,29.76,47.2,31.473,,35.98,49.59,87.24
2008-03-06,17.35,,25.012,34.72,32.47,37.86,62.75,,36.51,21.76,90.44,1946.7,9.855,60.06,3.599,24.02,60.4,31.22,,216.59,216.807,25.77,19.91,62.63,37.31,29.535,49.7,18.998,53.04,48.37,42.42,27.58,60.6,4.374,14.875,19.84,70.1,21.6,66.49,,,35.04,53.82,29.21,45.83,30.248,,35.28,49.96,84.51
2008-03-07,17.487,,9.003,33.69,32.53,37.81,64.09,,36.74,21.86,89.24,192.28,9.84,60.26,14.165,24.11,85.33,26.83,,216.66,216.877,25.85,20.07,61.52,37.56,29.425,49.75,19.251,52.23,47.56,41.79,27.87,60.29,4.463,14.575,19.55,69.59,21.36,65.82,,,35.06,53.5,29.32,45.22,29.89,,35.03,49.91,82.52
2008-03-10,17.103,,24.302,33.04,31.93,38.24,63.47,,35.34,21.37,87.26,181.06,9.705,60.28,13.985,24.01,84.9,26.57,,206.81,207.017,25.01,20.22,61.36,36.55,29.365,49.46,19.138,53.77,47.19,41.32,28.06,59.8,4.749,14.26,18.43,69.11,21.18,65.83,,,34.74,52.44,29.7,45.14,29.738,,34.44,48.89,82.6
2008-03-11,18.193,,24.412,34.08,32.57,44.62,67.15,,37.69,21.7,87.9,197.61,9.8,62.61,14.64,25.15,60.65,31.17,,219.92,220.145,26.2,21.2,62.46,38.8,29.73,50.59,19.56,54.25,47.98,42.35,29.28,60.92,4.726,14.483,19.04,69.91,21.74,66.7,,,36.11,53.47,28.77,38.24,31.098,,35.23,50.17,86.56
2008-03-12,18.011,,24.657,33.78,33.35,38.5,66.47,,37.05,21.36,87.14,195.04,9.73,62.6,3.632,25.12,86.79,31.41,,220.09,220.31,26.05,21.11,62.58,38.59,29.625,49.79,20.4,53.69,48.2,42.45,28.6,60.77,4.863,14.955,18.47,69.6,21.28,67.08,,,35.39,53.35,28.4,36.66,30.833,,34.6,50.27,85.9
2008-03-13,18.277,,25.247,33.99,33.26,40.38,68.27,,37.11,21.39,86.7,193.75,9.69,62.17,14.735,24.94,86.95,27.33,,221.5,221.727,26.46,21.25,62.74,38.16,29.46,49.15,21.041,54.91,48.0,41.95,28.62,61.45,4.887,15.283,19.69,69.23,21.2,67.37,,,35.47,54.34,29.0,38.21,30.833,,34.65,50.56,87.13
2008-03-14,18.137,,9.063,33.35,32.67,44.52,68.22,,35.68,20.67,86.36,1818.9,3.94,60.86,14.473,24.34,58.71,26.85,,219.01,219.234,25.81,20.66,62.64,36.5,28.79,47.81,20.803,54.83,47.21,41.02,27.97,61.46,4.751,15.008,18.33,68.51,20.66,66.69,,,34.98,53.25,28.23,37.29,30.743,,33.77,49.85,85.81
2008-03-17,18.106,,25.218,33.08,30.79,36.87,66.53,,35.99,20.48,85.03,1712.2,9.425,60.36,13.923,24.3,84.23,30.44,,209.93,210.145,25.68,20.85,64.0,40.42,28.835,48.88,20.076,54.26,47.39,41.85,28.315,62.13,4.714,14.818,17.86,69.19,20.61,67.0,,,35.9,52.6,28.69,33.92,30.588,,34.55,49.93,85.82
2008-03-18,18.993,,9.494,34.45,31.87,35.27,71.69,,38.82,21.34,86.11,190.44,9.715,61.67,14.605,25.57,86.0,31.69,,219.92,220.145,27.19,21.75,65.23,42.49,29.675,49.88,21.35,54.8,48.31,43.11,29.46,62.16,4.997,15.393,18.97,69.98,21.01,68.49,,,36.97,54.13,29.46,34.81,32.288,,35.22,50.92,88.39
2008-03-19,18.543,,26.106,34.38,34.71,34.21,70.18,,38.56,21.42,85.376,1876.8,9.645,60.88,14.175,24.46,56.33,27.25,,216.0,216.216,26.82,21.08,64.86,42.5,29.955,49.93,20.758,53.59,48.05,43.01,28.62,60.81,4.981,15.473,17.66,70.14,20.61,67.8,,,36.02,53.97,28.11,35.41,31.11,14.158,35.12,50.78,84.46
2008-03-20,19.039,,26.73,34.57,34.36,40.11,73.22,,41.88,21.46,86.949,206.9,4.032,63.41,3.497,24.75,83.32,31.92,,216.52,216.737,28.04,21.72,65.42,46.4,30.515,49.79,22.123,54.47,48.55,43.4,29.19,60.86,5.18,16.8,18.55,71.21,20.6,69.31,,,36.91,54.27,28.25,35.3,30.518,15.975,36.11,53.32,85.19
2008-03-24,19.951,,9.778,36.3,36.14,35.07,75.92,,42.45,21.25,86.82,213.98,10.125,65.5,14.945,25.71,57.79,27.95,,230.28,230.51,29.25,22.14,64.86,46.58,30.565,50.05,21.655,55.77,48.58,44.31,29.2,62.41,5.439,17.285,20.08,71.45,20.61,69.96,,,38.02,55.75,29.12,35.8,31.363,14.893,36.94,53.63,85.93
2008-03-25,20.13,,9.62,35.42,36.5,34.95,74.95,,41.0,21.63,86.19,215.36,10.265,66.58,15.218,25.74,84.49,32.09,,225.22,225.45,28.74,22.23,64.51,45.96,30.71,50.16,22.563,56.24,48.53,44.67,29.14,62.6,5.307,17.08,20.32,71.53,20.78,69.52,,,37.97,56.65,29.29,35.32,32.292,15.775,36.91,53.05,85.16
2008-03-26,20.737,,25.938,35.3,37.2,35.94,73.89,,39.82,21.21,1.713,202.76,9.865,66.65,14.81,24.8,58.45,31.75,,229.35,229.584,28.15,21.86,64.66,44.11,30.585,50.17,22.325,55.68,48.27,44.7,28.56,62.69,5.409,16.585,19.66,71.21,20.68,69.6,,,37.73,56.33,28.93,34.01,31.95,15.998,36.08,52.88,86.36
2008-03-27,20.041,,25.732,35.78,35.69,35.51,70.8,,38.64,21.3,87.45,217.2,9.775,65.25,3.553,24.18,84.4,31.38,,222.04,222.262,27.77,21.09,64.65,42.89,30.625,50.48,22.113,55.46,48.01,44.81,28.05,63.43,5.194,16.5,19.39,71.24,20.57,69.41,,,37.64,55.74,28.6,34.03,31.38,15.74,35.94,52.35,86.19
2008-03-28,20.431,,9.361,35.26,35.33,41.48,69.74,,38.07,21.46,89.035,207.9,9.495,64.36,3.549,24.06,58.13,27.04,,218.8,219.019,27.37,20.77,64.15,42.71,30.475,50.27,21.752,55.44,47.84,44.52,27.9,61.96,5.083,16.478,19.73,71.51,20.5,69.45,,,37.66,56.49,28.33,34.4,31.238,15.68,35.88,52.12,85.3
2008-03-31,20.5,,26.437,35.11,35.54,35.76,71.3,,37.9,21.29,89.38,1969.7,9.675,64.93,14.438,24.11,58.72,31.36,,220.72,220.946,27.95,21.18,64.79,42.95,30.455,51.53,22.25,55.76,48.34,37.96,28.38,62.74,4.947,16.97,19.8,72.11,20.88,70.01,50.45,,38.28,56.87,28.3,34.37,31.313,15.575,36.41,52.62,84.95
2008-04-01,21.373,,26.509,35.85,37.23,36.08,76.7,,40.85,22.16,88.496,2192.2,4.208,66.49,3.818,24.99,86.73,31.9,,232.85,233.088,29.5,21.97,65.88,46.92,30.73,52.01,22.689,56.95,48.55,38.58,29.51,64.86,5.214,17.383,20.97,72.15,21.35,71.16,50.58,,39.51,59.09,29.32,36.22,32.008,15.365,37.75,54.07,86.96
2008-04-02,21.067,,26.077,35.73,36.49,36.33,77.27,,40.34,21.68,87.29,2208.8,10.24,66.25,15.575,24.94,87.46,27.53,,232.84,233.078,29.18,21.84,65.34,46.31,30.225,51.72,22.454,56.64,49.34,37.14,29.15,65.7,5.199,16.978,20.36,71.37,21.49,70.47,51.28,,38.73,58.67,29.54,35.94,32.41,15.58,37.97,54.45,88.46
2008-04-03,21.657,,26.173,36.25,37.0,41.61,75.02,,40.41,21.91,86.84,243.4,10.215,66.93,15.71,24.25,60.34,31.51,,227.75,227.978,29.24,21.93,65.26,46.32,30.28,51.82,23.105,56.22,49.03,38.34,29.0,65.78,5.333,17.218,20.02,71.37,21.33,70.42,51.0,,39.0,57.98,30.12,36.19,33.028,16.375,38.05,54.95,88.21
2008-04-04,21.869,,26.312,36.83,36.98,41.61,76.84,,39.41,22.17,87.38,2214.3,10.155,66.46,16.305,24.43,88.13,31.24,,235.54,235.781,28.83,21.87,65.77,45.6,30.135,52.34,22.657,55.66,49.66,39.97,29.16,65.95,5.179,17.153,18.78,71.52,21.35,70.61,51.32,,38.5,58.02,29.9,36.52,33.418,16.113,37.36,54.35,88.75
2008-04-07,22.275,,26.351,37.23,36.82,35.51,76.9,,39.48,21.99,88.1,2262.1,4.338,66.23,4.071,23.94,88.42,27.5,,238.39,238.628,28.48,21.74,66.09,45.52,30.16,53.09,22.619,55.63,49.99,40.8,29.16,65.76,5.129,16.708,19.2,71.86,21.45,70.48,50.64,,38.99,57.3,30.09,36.76,33.308,16.24,37.37,54.2,88.93
2008-04-08,21.83,,9.525,37.93,36.81,35.51,77.35,,38.39,21.84,88.049,2184.9,10.265,66.97,3.991,23.96,89.25,31.08,,233.77,234.004,28.16,21.09,66.35,44.92,30.275,52.23,23.228,55.92,50.47,40.98,28.79,66.15,5.264,16.655,19.13,71.29,20.98,70.64,50.56,,38.83,56.78,29.17,37.98,33.393,17.02,36.72,54.45,89.67
2008-04-09,21.634,,25.832,37.01,36.32,35.59,74.39,,37.93,21.5,87.8,2168.3,4.2,66.08,3.955,23.53,90.0,30.85,,232.09,232.327,27.7,21.43,66.28,44.28,30.405,51.78,22.845,55.76,49.78,40.97,28.92,66.0,5.203,16.625,19.5,70.95,20.88,70.16,49.42,,38.19,56.57,29.54,37.28,32.445,16.445,36.02,54.15,89.69
2008-04-10,22.079,,25.828,38.04,37.04,37.64,74.8,,37.7,22.13,87.58,2180.3,4.171,66.53,4.098,24.01,89.65,27.35,,234.48,234.714,28.38,22.06,66.33,43.84,30.63,52.37,22.866,55.84,50.09,41.74,29.1,65.15,5.22,16.845,19.87,71.66,20.93,70.13,48.7,,38.23,55.83,30.07,36.67,32.48,16.5,35.83,54.66,89.42
2008-04-11,21.031,,25.353,36.55,36.01,43.01,71.99,,36.94,21.71,87.08,214.81,4.106,65.7,15.275,23.41,88.77,30.19,,228.8,229.029,28.2,21.27,66.04,42.5,30.145,51.89,22.777,55.43,49.79,41.09,28.32,64.84,5.074,16.68,18.53,71.4,20.46,70.02,48.36,,37.26,54.5,29.48,35.87,32.578,16.52,35.59,54.81,88.49
2008-04-14,21.114,,25.17,36.51,36.28,36.76,72.66,,35.59,21.54,85.72,225.3,9.875,65.32,3.755,23.3,61.43,30.03,,225.8,226.026,27.9,20.72,66.15,41.67,30.505,51.86,22.726,55.49,49.44,41.42,28.06,64.55,5.119,16.508,17.91,70.94,20.56,70.14,48.01,,37.2,54.75,28.72,36.26,32.84,16.388,35.34,55.18,89.67
